id,id2,geography,medianincome,medianincomemoe,housingmedian,housingmoe
0500000US51097,51097,"King and Queen County, Virginia",51495,9813,803,137
0500000US51099,51099,"King George County, Virginia",84770,6188,1458,65
0500000US51101,51101,"King William County, Virginia",67423,3839,1160,60
0500000US51103,51103,"Lancaster County, Virginia",51495,7163,762,57
0500000US51105,51105,"Lee County, Virginia",32590,2972,429,21
0500000US51107,51107,"Loudoun County, Virginia",129588,2111,2241,20
0500000US51109,51109,"Louisa County, Virginia",56946,4745,998,47
0500000US51111,51111,"Lunenburg County, Virginia",39537,3382,635,38
0500000US51113,51113,"Madison County, Virginia",52287,4596,902,109
0500000US51115,51115,"Mathews County, Virginia",63622,9637,946,53
0500000US51117,51117,"Mecklenburg County, Virginia",41126,2130,657,28
0500000US51119,51119,"Middlesex County, Virginia",50483,5320,781,53
0500000US51121,51121,"Montgomery County, Virginia",53424,1793,954,25
0500000US51125,51125,"Nelson County, Virginia",53834,4010,816,97
0500000US51127,51127,"New Kent County, Virginia",78429,5091,1263,77
0500000US51131,51131,"Northampton County, Virginia",41468,4548,690,38
0500000US51133,51133,"Northumberland County, Virginia",56677,2308,794,87
0500000US51135,51135,"Nottoway County, Virginia",38410,2987,761,36
0500000US51137,51137,"Orange County, Virginia",67196,3748,1127,56
0500000US51139,51139,"Page County, Virginia",46140,2999,734,36
0500000US51141,51141,"Patrick County, Virginia",37757,4017,473,27
0500000US51143,51143,"Pittsylvania County, Virginia",44356,1580,646,22
0500000US51145,51145,"Powhatan County, Virginia",80441,4097,1219,65
0500000US51147,51147,"Prince Edward County, Virginia",44147,3938,697,68
0500000US51149,51149,"Prince George County, Virginia",68461,3433,1184,49
0500000US51153,51153,"Prince William County, Virginia",101059,1440,1843,17
0500000US51155,51155,"Pulaski County, Virginia",49691,2407,640,26
0500000US51157,51157,"Rappahannock County, Virginia",62541,6964,1099,97
0500000US51159,51159,"Richmond County, Virginia",47341,4376,685,107
0500000US51161,51161,"Roanoke County, Virginia",62134,1707,939,21
0500000US51163,51163,"Rockbridge County, Virginia",53918,3825,739,61
0500000US51165,51165,"Rockingham County, Virginia",57651,1698,863,22
0500000US51167,51167,"Russell County, Virginia",40083,2026,470,32
0500000US51169,51169,"Scott County, Virginia",38725,2734,435,21
0500000US51171,51171,"Shenandoah County, Virginia",53934,2994,860,33
0500000US51173,51173,"Smyth County, Virginia",40544,1556,548,26
0500000US51175,51175,"Southampton County, Virginia",53681,4028,818,79
0500000US51177,51177,"Spotsylvania County, Virginia",81434,1924,1452,24
0500000US51179,51179,"Stafford County, Virginia",103005,2824,1757,35
0500000US51181,51181,"Surry County, Virginia",54656,5518,927,37
0500000US51183,51183,"Sussex County, Virginia",44608,3842,709,61
0500000US51185,51185,"Tazewell County, Virginia",40309,1889,543,28
0500000US51187,51187,"Warren County, Virginia",65353,3936,1127,44
0500000US51191,51191,"Washington County, Virginia",44844,2619,617,23
0500000US51193,51193,"Westmoreland County, Virginia",55688,7635,927,87
0500000US51195,51195,"Wise County, Virginia",38255,3086,530,43
0500000US51197,51197,"Wythe County, Virginia",46119,2969,586,48
0500000US51199,51199,"York County, Virginia",86781,3475,1468,32
0500000US51510,51510,"Alexandria city, Virginia",93370,1553,1792,20
0500000US51520,51520,"Bristol city, Virginia",37844,4812,670,33
0500000US51530,51530,"Buena Vista city, Virginia",33672,2993,732,50
0500000US51540,51540,"Charlottesville city, Virginia",54739,3418,1127,33
0500000US51550,51550,"Chesapeake city, Virginia",72214,1485,1402,18
0500000US51570,51570,"Colonial Heights city, Virginia",50952,4104,1002,40
0500000US51580,51580,"Covington city, Virginia",35546,3357,588,41
0500000US51590,51590,"Danville city, Virginia",34951,1744,635,18
0500000US51595,51595,"Emporia city, Virginia",27426,7596,747,49
0500000US51600,51600,"Fairfax city, Virginia",106870,5914,1971,71
0500000US51610,51610,"Falls Church city, Virginia",114795,7917,2295,126
0500000US51620,51620,"Franklin city, Virginia",38760,4679,883,40
0500000US51630,51630,"Fredericksburg city, Virginia",57258,3631,1184,30
0500000US51640,51640,"Galax city, Virginia",31311,2888,553,45
0500000US51650,51650,"Hampton city, Virginia",52021,1382,1134,15
0500000US51660,51660,"Harrisonburg city, Virginia",43009,2035,874,23
0500000US51670,51670,"Hopewell city, Virginia",40712,2737,822,27
0500000US51678,51678,"Lexington city, Virginia",37309,8201,779,60
0500000US51680,51680,"Lynchburg city, Virginia",41971,1414,843,17
0500000US51683,51683,"Manassas city, Virginia",77551,3453,1577,46
0500000US51685,51685,"Manassas Park city, Virginia",79131,7001,1722,65
0500000US51690,51690,"Martinsville city, Virginia",33545,4045,658,32
0500000US51700,51700,"Newport News city, Virginia",51082,1419,1053,18
0500000US51710,51710,"Norfolk city, Virginia",47137,930,1105,11
0500000US51720,51720,"Norton city, Virginia",26971,8010,550,52
0500000US51730,51730,"Petersburg city, Virginia",33939,1600,887,25
0500000US51735,51735,"Poquoson city, Virginia",88328,8414,1564,85
0500000US51740,51740,"Portsmouth city, Virginia",48727,1587,1091,16
0500000US51750,51750,"Radford city, Virginia",36082,5918,808,67
0500000US51760,51760,"Richmond city, Virginia",42356,832,1007,15
0500000US51770,51770,"Roanoke city, Virginia",41483,1343,823,15
0500000US51775,51775,"Salem city, Virginia",53990,2528,879,23
0500000US51790,51790,"Staunton city, Virginia",46435,3006,835,33
0500000US51800,51800,"Suffolk city, Virginia",68089,1784,1336,34
0500000US51810,51810,"Virginia Beach city, Virginia",70500,1124,1414,11
0500000US51820,51820,"Waynesboro city, Virginia",42112,4730,878,37
0500000US51830,51830,"Williamsburg city, Virginia",54606,4779,1120,45
0500000US51840,51840,"Winchester city, Virginia",49330,3199,1004,41
